ticker,expiry,lot_size,method
INFY,2022-10-27,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-11-24,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2022-12-29,300,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-01-25,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-02-23,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-03-29,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-04-27,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-05-25,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2023-12-28,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-01-25,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-02-29,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-03-28,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-04-25,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-05-30,400,legacy NSE turnover estimate validated by open-interest divisibility
INFY,2024-07-25,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-01-30,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-02-27,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-03-26,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-04-30,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-05-28,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-06-25,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-07-30,400,legacy NSE turnover estimate validated by open-interest divisibility
KOTAKBANK,2020-08-27,400,legacy NSE turnover estimate validated by open-interest divisibility
